"","year","date","lynx_value","settlement_mechanism","ma_value","day"
"101",2022,2022-08-18,0.000040648,"RTM",0.00000812959999999722,2022-08-18
"102",2022,2022-08-18,1.097419529,"UPM",0.6858629332,2022-08-18
"103",2022,2022-08-19,394.776089551,"LSM",401.744603628,2022-08-19
"104",2022,2022-08-19,0,"RTM",0.00000812959999999722,2022-08-19
"105",2022,2022-08-19,0.144003983,"UPM",0.5895150204,2022-08-19
"106",2022,2022-08-22,407.408542912,"LSM",396.0282453612,2022-08-22
"107",2022,2022-08-22,0.000040648,"RTM",0.0000162591999999972,2022-08-22
"108",2022,2022-08-22,0.938262493,"UPM",0.6992079102,2022-08-22
"109",2022,2022-08-23,370.902429988,"LSM",391.6809331216,2022-08-23
"110",2022,2022-08-23,0,"RTM",0.0000162591999999972,2022-08-23
"111",2022,2022-08-23,0.420016518,"UPM",0.7151567632,2022-08-23
"112",2022,2022-08-24,398.905088977,"LSM",394.2897893388,2022-08-24
"113",2022,2022-08-24,0,"RTM",0.0000162591999999972,2022-08-24
"114",2022,2022-08-24,2.017537563,"UPM",0.9234480172,2022-08-24
"115",2022,2022-08-25,393.397829281,"LSM",393.0779961418,2022-08-25
"116",2022,2022-08-25,0,"RTM",0.00000812959999999722,2022-08-25
"117",2022,2022-08-25,0.581344789,"UPM",0.8202330692,2022-08-25
"118",2022,2022-08-26,380.503545056,"LSM",390.2234872428,2022-08-26
"119",2022,2022-08-26,0,"RTM",0.00000812959999999722,2022-08-26
"120",2022,2022-08-26,0.199416774,"UPM",0.8313156274,2022-08-26
"121",2022,2022-08-29,397.098219744,"LSM",388.1614226092,2022-08-29
"122",2022,2022-08-29,0,"RTM",-0.00000000000000000277555756156289,2022-08-29
"123",2022,2022-08-29,1.535438062,"UPM",0.9507507412,2022-08-29
"124",2022,2022-08-30,413.464543418,"LSM",396.6738452952,2022-08-30
"125",2022,2022-08-30,0,"RTM",-0.00000000000000000277555756156289,2022-08-30
"126",2022,2022-08-30,0.961711498,"UPM",1.0590897372,2022-08-30
"127",2022,2022-08-31,441.734271715,"LSM",405.2396818428,2022-08-31
"128",2022,2022-08-31,0,"RTM",-0.00000000000000000277555756156289,2022-08-31
"129",2022,2022-08-31,0.462886352,"UPM",0.748159495,2022-08-31
"130",2022,2022-09-01,450.315816919,"LSM",416.6232793704,2022-09-01
"131",2022,2022-09-01,0.000269901,"RTM",0.0000539801999999972,2022-09-01
"132",2022,2022-09-01,0.44289131,"UPM",0.7204687992,2022-09-01
"133",2022,2022-09-02,444.933158031,"LSM",429.5092019654,2022-09-02
"134",2022,2022-09-02,0,"RTM",0.0000539801999999972,2022-09-02
"135",2022,2022-09-02,1.732243461,"UPM",1.0270341366,2022-09-02
"136",2022,2022-09-06,452.867546269,"LSM",440.6630672704,2022-09-06
"137",2022,2022-09-06,0,"RTM",0.0000539801999999972,2022-09-06
"138",2022,2022-09-06,0.498561874,"UPM",0.819658899,2022-09-06
"139",2022,2022-09-07,414.637436834,"LSM",440.8976459536,2022-09-07
"140",2022,2022-09-07,0,"RTM",0.0000539801999999972,2022-09-07
"141",2022,2022-09-07,0.499600609,"UPM",0.7272367212,2022-09-07
"142",2022,2022-09-08,408.622358433,"LSM",434.2752632972,2022-09-08
"143",2022,2022-09-08,0,"RTM",0.0000539801999999972,2022-09-08
"144",2022,2022-09-08,0.576703068,"UPM",0.7500000644,2022-09-08
"145",2022,2022-09-09,404.551113358,"LSM",425.122322585,2022-09-09
"146",2022,2022-09-09,0,"RTM",-0.00000000000000000277555756156289,2022-09-09
"147",2022,2022-09-09,0.206822969,"UPM",0.7027863962,2022-09-09
"148",2022,2022-09-12,410.668214459,"LSM",418.2693338706,2022-09-12
"149",2022,2022-09-12,0,"RTM",-0.00000000000000000277555756156289,2022-09-12
"150",2022,2022-09-12,0.600072715,"UPM",0.476352247,2022-09-12
"151",2022,2022-09-13,384.427193539,"LSM",404.5812633246,2022-09-13
"152",2022,2022-09-13,0,"RTM",-0.00000000000000000277555756156289,2022-09-13
"153",2022,2022-09-13,2.114163207,"UPM",0.7994725136,2022-09-13
"154",2022,2022-09-14,392.46439655,"LSM",400.1466552678,2022-09-14
"155",2022,2022-09-14,0,"RTM",-0.00000000000000000277555756156289,2022-09-14
"156",2022,2022-09-14,0.253159706,"UPM",0.750184333,2022-09-14
"157",2022,2022-09-15,495.668816275,"LSM",417.5559468362,2022-09-15
"158",2022,2022-09-15,0,"RTM",-0.00000000000000000277555756156289,2022-09-15
"159",2022,2022-09-15,2.263996607,"UPM",1.0876430408,2022-09-15
"160",2022,2022-09-16,421.273505465,"LSM",420.9004252576,2022-09-16
"161",2022,2022-09-16,0.5,"RTM",0.1,2022-09-16
"162",2022,2022-09-16,0.628004887,"UPM",1.1718794244,2022-09-16
"163",2022,2022-09-19,407.920082583,"LSM",420.3507988824,2022-09-19
"164",2022,2022-09-19,0,"RTM",0.1,2022-09-19
"165",2022,2022-09-19,0.440744143,"UPM",1.14001371,2022-09-19
"166",2022,2022-09-20,425.763006531,"LSM",428.6179614808,2022-09-20
"167",2022,2022-09-20,0,"RTM",0.1,2022-09-20
"168",2022,2022-09-20,2.39001791,"UPM",1.1951846506,2022-09-20
"169",2022,2022-09-21,448.721227489,"LSM",439.8693276686,2022-09-21
"170",2022,2022-09-21,0,"RTM",0.1,2022-09-21
"171",2022,2022-09-21,0.779262564,"UPM",1.3004052222,2022-09-21
"172",2022,2022-09-22,435.078797226,"LSM",427.7513238588,2022-09-22
"173",2022,2022-09-22,0,"RTM",0.1,2022-09-22
"174",2022,2022-09-22,4.714797448,"UPM",1.7905653904,2022-09-22
"175",2022,2022-09-23,413.816985041,"LSM",426.260019774,2022-09-23
"176",2022,2022-09-23,0,"RTM",-0.00000000000000000277555756156289,2022-09-23
"177",2022,2022-09-23,0.414759312,"UPM",1.7479162754,2022-09-23
"178",2022,2022-09-26,451.750310134,"LSM",435.0260652842,2022-09-26
"179",2022,2022-09-26,0.1,"RTM",0.02,2022-09-26
"180",2022,2022-09-26,0.570377911,"UPM",1.773843029,2022-09-26
"181",2022,2022-09-27,445.584417119,"LSM",438.9903474018,2022-09-27
"182",2022,2022-09-27,0,"RTM",0.02,2022-09-27
"183",2022,2022-09-27,0.611667671,"UPM",1.4181729812,2022-09-27
"184",2022,2022-09-28,426.474728381,"LSM",434.5410475802,2022-09-28
"185",2022,2022-09-28,0,"RTM",0.02,2022-09-28
"186",2022,2022-09-28,2.328245632,"UPM",1.7279695948,2022-09-28
"187",2022,2022-09-29,543.730659073,"LSM",456.2714199496,2022-09-29
"188",2022,2022-09-29,0.000254754,"RTM",0.0200509508,2022-09-29
"189",2022,2022-09-29,2.154028754,"UPM",1.215815856,2022-09-29
